Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
"C0","10uF","C_0402_1005Metric",27.742800,-81.600000,90.000000,top
"C1","10uF","C_0402_1005Metric",29.992624,-78.370000,0.000000,top
"C2","10uF","C_0402_1005Metric",31.542624,-77.920000,-90.000000,top
"C3","10uF","C_0402_1005Metric",34.117800,-76.050000,0.000000,top
"C4","10uF","C_0402_1005Metric",37.467800,-76.050000,0.000000,top
"C5","10uF","C_0402_1005Metric",39.992624,-77.920000,-90.000000,top
"C6","10uF","C_0402_1005Metric",41.612624,-78.370000,180.000000,top
"C7","10uF","C_0402_1005Metric",43.842800,-81.600000,-90.000000,top
"C8","10uF","C_0402_1005Metric",27.742800,-43.375000,90.000000,top
"C9","10uF","C_0402_1005Metric",29.992624,-40.145000,0.000000,top
"C10","10uF","C_0402_1005Metric",31.542624,-39.695000,-90.000000,top
"C11","10uF","C_0402_1005Metric",34.117800,-37.825000,0.000000,top
"C12","10uF","C_0402_1005Metric",37.467800,-37.825000,0.000000,top
"C13","10uF","C_0402_1005Metric",39.992624,-39.695000,-90.000000,top
"C14","10uF","C_0402_1005Metric",41.612624,-40.145000,180.000000,top
"C15","10uF","C_0402_1005Metric",43.842800,-43.375000,-90.000000,top
"C16","10uF","C_0402_1005Metric",58.800000,-48.400000,0.000000,top
"C17","10uF","C_0402_1005Metric",75.350000,-48.400000,0.000000,top
"C18","10uF","C_0402_1005Metric",94.400000,-48.400000,0.000000,top
"C19","10uF","C_0402_1005Metric",58.200000,-67.450000,0.000000,top
"C20","10uF","C_0402_1005Metric",75.350000,-67.450000,0.000000,top
"C21","10uF","C_0402_1005Metric",94.400000,-67.450000,0.000000,top
"C22","10uF","C_0402_1005Metric",56.300000,-86.500000,0.000000,top
"C23","10uF","C_0402_1005Metric",75.350000,-86.500000,0.000000,top
"C24","10uF","C_0402_1005Metric",94.400000,-86.500000,0.000000,top
"C25","10uF","C_0402_1005Metric",56.300000,-105.550000,0.000000,top
"C26","10uF","C_0402_1005Metric",80.000000,-105.400000,0.000000,top
"C27","10uF","C_0402_1005Metric",94.400000,-105.550000,0.000000,top
"C28","10uF","C_0402_1005Metric",51.000000,-116.670000,90.000000,top
"C29","10uF","C_0402_1005Metric",85.400000,-124.300000,180.000000,top
"C30","10uF","C_0402_1005Metric",25.162200,-104.718400,90.000000,top
"C31","10uF","C_0402_1005Metric",46.843800,-102.262400,-90.000000,top
"C32","10uF","C_0402_1005Metric",46.843800,-105.643200,-90.000000,top
"C33","100nF","C_0402_1005Metric",73.300000,-112.795000,90.000000,top
"C34","100nF","C_0402_1005Metric",75.650000,-125.325000,-90.000000,top
"C35","100nF","C_0402_1005Metric",69.100000,-121.500000,180.000000,top
"C36","100nF","C_0402_1005Metric",69.134871,-115.675000,180.000000,top
"C37","100nF","C_0402_1005Metric",74.675000,-124.975000,-90.000000,top
"C38","100nF","C_0402_1005Metric",79.050000,-119.800000,90.000000,top
"C39","100nF","C_0402_1005Metric",74.700000,-111.470000,90.000000,top
"C40","100nF","C_0402_1005Metric",79.150000,-114.425000,0.000000,top
"C41","100nF","C_0402_1005Metric",74.375000,-113.375000,90.000000,top
"C42","100nF","C_0402_1005Metric",67.600000,-104.175000,0.000000,top
"C43","1uF","C_0402_1005Metric",77.650000,-112.525000,90.000000,top
"C44","1uF","C_0402_1005Metric",78.650000,-112.975000,90.000000,top
"C45","10uF","C_0402_1005Metric",79.600000,-115.850000,90.000000,top
"C46","30pF","C_0402_1005Metric",73.000000,-124.100000,180.000000,top
"C47","30pF","C_0402_1005Metric",67.200000,-121.500000,0.000000,top
"D1","1N4148","D_SOD-323F",50.500000,-54.350000,90.000000,top
"D2","1N4148","D_SOD-323F",50.425000,-72.900000,-90.000000,top
"D3","1N4148","D_SOD-323F",50.500000,-44.050000,90.000000,top
"D4","1N4148","D_SOD-323F",69.550000,-40.800000,90.000000,top
"D5","1N4148","D_SOD-323F",88.600000,-40.800000,90.000000,top
"D6","1N4148","D_SOD-323F",50.500000,-59.850000,90.000000,top
"D7","1N4148","D_SOD-323F",69.550000,-59.850000,90.000000,top
"D8","1N4148","D_SOD-323F",88.600000,-59.850000,90.000000,top
"D9","1N4148","D_SOD-323F",50.500000,-81.950000,90.000000,top
"D10","1N4148","D_SOD-323F",69.550000,-78.900000,90.000000,top
"D11","1N4148","D_SOD-323F",88.600000,-78.900000,90.000000,top
"D12","1N4148","D_SOD-323F",50.500000,-97.950000,90.000000,top
"D13","1N4148","D_SOD-323F",72.190000,-88.420000,0.000000,top
"D14","1N4148","D_SOD-323F",88.600000,-97.950000,90.000000,top
"D15","1N4148","D_SOD-323F",57.575000,-108.075000,180.000000,top
"D16","1N4148","D_SOD-323F",81.050000,-108.125000,0.000000,top
"J1","USB_C_ReceptacleUSB2.0","USB_C_Receptacle_Palconn_UTC16-G",67.586125,-26.996325,180.000000,top
"J2","Conn_01x10_Male","PinHeader_1x10_P2.54mm_Horizontal",45.400000,-124.575000,-90.000000,top
"NP0","WS2812B","LED_WS2812B_3.5x2.8_C2890364",24.990000,-80.620000,160.000000,top
"NP1","WS2812B","LED_WS2812B_3.5x2.8_C2890364",26.990000,-77.160000,140.000000,top
"NP2","WS2812B","LED_WS2812B_3.5x2.8_C2890364",30.050000,-74.590000,120.000000,top
"NP3","WS2812B","LED_WS2812B_3.5x2.8_C2890364",33.800000,-73.220000,100.000000,top
"NP4","WS2812B","LED_WS2812B_3.5x2.8_C2890364",37.790000,-73.220000,80.000000,top
"NP5","WS2812B","LED_WS2812B_3.5x2.8_C2890364",41.550000,-74.590000,60.000000,top
"NP6","WS2812B","LED_WS2812B_3.5x2.8_C2890364",44.610000,-77.160000,40.000000,top
"NP7","WS2812B","LED_WS2812B_3.5x2.8_C2890364",46.610000,-80.620000,20.000000,top
"NP8","WS2812B","LED_WS2812B_3.5x2.8_C2890364",24.990000,-42.395000,160.000000,top
"NP9","WS2812B","LED_WS2812B_3.5x2.8_C2890364",26.990000,-38.935000,140.000000,top
"NP10","WS2812B","LED_WS2812B_3.5x2.8_C2890364",30.050000,-36.365000,120.000000,top
"NP11","WS2812B","LED_WS2812B_3.5x2.8_C2890364",33.800000,-34.995000,100.000000,top
"NP12","WS2812B","LED_WS2812B_3.5x2.8_C2890364",37.790000,-34.995000,80.000000,top
"NP13","WS2812B","LED_WS2812B_3.5x2.8_C2890364",41.550000,-36.365000,60.000000,top
"NP14","WS2812B","LED_WS2812B_3.5x2.8_C2890364",44.610000,-38.935000,40.000000,top
"NP15","WS2812B","LED_WS2812B_3.5x2.8_C2890364",46.610000,-42.395000,20.000000,top
"NP16","WS2812B","LED_WS2812B_3.5x2.8_C2890364",58.800000,-45.400000,0.000000,top
"NP17","WS2812B","LED_WS2812B_3.5x2.8_C2890364",77.850000,-45.400000,0.000000,top
"NP18","WS2812B","LED_WS2812B_3.5x2.8_C2890364",96.900000,-45.400000,0.000000,top
"NP19","WS2812B","LED_WS2812B_3.5x2.8_C2890364",58.800000,-64.450000,0.000000,top
"NP20","WS2812B","LED_WS2812B_3.5x2.8_C2890364",77.850000,-64.450000,0.000000,top
"NP21","WS2812B","LED_WS2812B_3.5x2.8_C2890364",96.900000,-64.450000,0.000000,top
"NP22","WS2812B","LED_WS2812B_3.5x2.8_C2890364",58.800000,-83.500000,0.000000,top
"NP23","WS2812B","LED_WS2812B_3.5x2.8_C2890364",77.850000,-83.500000,0.000000,top
"NP24","WS2812B","LED_WS2812B_3.5x2.8_C2890364",96.900000,-83.500000,0.000000,top
"NP25","WS2812B","LED_WS2812B_3.5x2.8_C2890364",58.800000,-102.550000,0.000000,top
"NP26","WS2812B","LED_WS2812B_3.5x2.8_C2890364",77.850000,-102.550000,0.000000,top
"NP27","WS2812B","LED_WS2812B_3.5x2.8_C2890364",96.900000,-102.550000,0.000000,top
"NP28","WS2812B","LED_WS2812B_3.5x2.8_C2890364",58.800000,-121.600000,180.000000,top
"NP29","WS2812B","LED_WS2812B_3.5x2.8_C2890364",87.375000,-121.600000,180.000000,top
"R1","5.1k","R_0402_1005Metric",61.650000,-29.650000,-90.000000,top
"R2","5.1k","R_0402_1005Metric",73.507525,-29.632525,-90.000000,top
"R3","1k","R_0402_1005Metric",73.125000,-125.325000,180.000000,top
"R4","1k","C_0402_1005Metric",67.354698,-115.181073,-90.000000,top
"R5","27","C_0402_1005Metric",75.700571,-113.190200,-90.000000,top
"R6","27","C_0402_1005Metric",76.650571,-113.190200,-90.000000,top
"SW1","RotaryEncoder_Switch","RotaryEncoder_Alps_EC12E-Switch_Vertical_H20mm",33.292800,-56.809400,90.000000,top
"SW2","RotaryEncoder_Switch","RotaryEncoder_Alps_EC12E-Switch_Vertical_H20mm",33.292800,-95.034400,90.000000,top
"SW3","SW_Push","SW_Hotswap_Kailh_MX_1.00u",58.800000,-40.275000,0.000000,top
"SW4","SW_Push","SW_Hotswap_Kailh_MX_1.00u",77.850000,-40.275000,0.000000,top
"SW5","SW_Push","SW_Hotswap_Kailh_MX_1.00u",96.900000,-40.275000,0.000000,top
"SW6","SW_Push","SW_Hotswap_Kailh_MX_1.00u",58.800000,-59.325000,0.000000,top
"SW7","SW_Push","SW_Hotswap_Kailh_MX_1.00u",77.850000,-59.325000,0.000000,top
"SW8","SW_Push","SW_Hotswap_Kailh_MX_1.00u",96.900000,-59.325000,0.000000,top
"SW9","SW_Push","SW_Hotswap_Kailh_MX_1.00u",58.800000,-78.375000,0.000000,top
"SW10","SW_Push","SW_Hotswap_Kailh_MX_1.00u",77.850000,-78.375000,0.000000,top
"SW11","SW_Push","SW_Hotswap_Kailh_MX_1.00u",96.900000,-78.375000,0.000000,top
"SW12","SW_Push","SW_Hotswap_Kailh_MX_1.00u",58.800000,-97.425000,0.000000,top
"SW13","SW_Push","SW_Hotswap_Kailh_MX_1.00u",77.850000,-97.425000,0.000000,top
"SW14","SW_Push","SW_Hotswap_Kailh_MX_1.00u",96.900000,-97.425000,0.000000,top
"SW15","SW_Push","SW_Hotswap_Kailh_MX_1.00u",58.800000,-116.475000,0.000000,top
"SW16","SW_Push","SW_Hotswap_Kailh_MX_2.00u",87.375000,-116.475000,0.000000,top
"SW17","SW_Push","SW_SPST_TL3342",33.975000,-114.025000,0.000000,top
"TP0","TestPoint","TestPoint_Loop_D1.80mm_Drill1.0mm_Beaded",51.225000,-68.850000,0.000000,top
"TP1","TestPoint","TestPoint_Loop_D1.80mm_Drill1.0mm_Beaded",55.372000,-68.825000,0.000000,top
"TP2","TestPoint","TestPoint_Loop_D1.80mm_Drill1.0mm_Beaded",72.500000,-68.825000,0.000000,top
"TP3","TestPoint","TestPoint_Loop_D1.80mm_Drill1.0mm_Beaded",87.550000,-68.825000,0.000000,top
"TP4","TestPoint","TestPoint_Loop_D1.80mm_Drill1.0mm_Beaded",88.400000,-106.175000,0.000000,top
"TP5","TestPoint","TestPoint_Loop_D1.80mm_Drill1.0mm_Beaded",102.750000,-87.900000,0.000000,top
"TP6","TestPoint","TestPoint_Loop_D1.80mm_Drill1.0mm_Beaded",102.725000,-68.850000,0.000000,top
"TP7","TestPoint","TestPoint_Loop_D1.80mm_Drill1.0mm_Beaded",102.750000,-49.800000,0.000000,top
"TP8","TestPoint","TestPoint_Loop_D1.80mm_Drill1.0mm_Beaded",87.775000,-32.650000,0.000000,top
"TP9","TestPoint","TestPoint_Loop_D1.80mm_Drill1.0mm_Beaded",52.725000,-49.825000,0.000000,top
"U1","AMS1117-3.3","SOT-223-3_TabPin2",41.600000,-104.132400,180.000000,top
"U2","W25Q128JVS","SOIC-8_5.23x5.23mm_P1.27mm",69.022200,-109.463000,90.000000,top
"U3","RP2040","RP2040-QFN-56",74.259771,-119.289050,0.000000,top
"U4","74125","TSSOP-14_4.4x5mm_P0.65mm",29.787500,-103.300000,180.000000,top
"Y1","12MHz","Crystal_SMD_3225-4Pin_3.2x2.5mm",68.300000,-124.150000,-90.000000,top
