Designator,Mid X,Mid Y,Layer,Rotation
C0,27.742800mm,-81.600000mm,Top,90
C1,29.992624mm,-78.370000mm,Top,0
C2,31.542624mm,-77.920000mm,Top,270
C3,34.117800mm,-76.050000mm,Top,0
C4,37.467800mm,-76.050000mm,Top,0
C5,39.992624mm,-77.920000mm,Top,270
C6,41.612624mm,-78.370000mm,Top,180
C7,43.842800mm,-81.600000mm,Top,270
C8,27.742800mm,-43.375000mm,Top,90
C9,29.992624mm,-40.145000mm,Top,0
C10,31.542624mm,-39.695000mm,Top,270
C11,34.117800mm,-37.825000mm,Top,0
C12,37.467800mm,-37.825000mm,Top,0
C13,39.992624mm,-39.695000mm,Top,270
C14,41.612624mm,-40.145000mm,Top,180
C15,43.842800mm,-43.375000mm,Top,270
C16,58.800000mm,-48.400000mm,Top,0
C17,75.350000mm,-48.400000mm,Top,0
C18,94.400000mm,-48.400000mm,Top,0
C19,58.200000mm,-67.450000mm,Top,0
C20,75.350000mm,-67.450000mm,Top,0
C21,94.400000mm,-67.450000mm,Top,0
C22,56.300000mm,-86.500000mm,Top,0
C23,75.350000mm,-86.500000mm,Top,0
C24,94.400000mm,-86.500000mm,Top,0
C25,56.300000mm,-105.550000mm,Top,0
C26,80.000000mm,-105.400000mm,Top,0
C27,94.400000mm,-105.550000mm,Top,0
C28,51.000000mm,-116.670000mm,Top,90
C29,85.400000mm,-124.300000mm,Top,180
C30,25.162200mm,-104.718400mm,Top,90
C31,46.843800mm,-102.262400mm,Top,270
C32,46.843800mm,-105.643200mm,Top,270
C33,73.300000mm,-112.795000mm,Top,90
C34,75.650000mm,-125.325000mm,Top,270
C35,69.100000mm,-121.500000mm,Top,180
C36,69.134871mm,-115.675000mm,Top,180
C37,74.675000mm,-124.975000mm,Top,270
C38,79.050000mm,-119.800000mm,Top,90
C39,74.700000mm,-111.470000mm,Top,90
C40,79.150000mm,-114.425000mm,Top,0
C41,74.375000mm,-113.375000mm,Top,90
C42,67.600000mm,-104.175000mm,Top,0
C43,77.650000mm,-112.525000mm,Top,90
C44,78.650000mm,-112.975000mm,Top,90
C45,79.600000mm,-115.850000mm,Top,90
C46,73.000000mm,-124.100000mm,Top,180
C47,67.200000mm,-121.500000mm,Top,0
D1,50.500000mm,-54.350000mm,Top,90
D2,50.425000mm,-72.900000mm,Top,270
D3,50.500000mm,-44.050000mm,Top,90
D4,69.550000mm,-40.800000mm,Top,90
D5,88.600000mm,-40.800000mm,Top,90
D6,50.500000mm,-59.850000mm,Top,90
D7,69.550000mm,-59.850000mm,Top,90
D8,88.600000mm,-59.850000mm,Top,90
D9,50.500000mm,-81.950000mm,Top,90
D10,69.550000mm,-78.900000mm,Top,90
D11,88.600000mm,-78.900000mm,Top,90
D12,50.500000mm,-97.950000mm,Top,90
D13,72.190000mm,-88.420000mm,Top,0
D14,88.600000mm,-97.950000mm,Top,90
D15,57.575000mm,-108.075000mm,Top,180
D16,81.050000mm,-108.125000mm,Top,0
J1,67.586125mm,-26.996325mm,Top,180
J2,45.400000mm,-124.575000mm,Top,270
NP0,24.990000mm,-80.620000mm,Top,160
NP1,26.990000mm,-77.160000mm,Top,140
NP2,30.050000mm,-74.590000mm,Top,120
NP3,33.800000mm,-73.220000mm,Top,100
NP4,37.790000mm,-73.220000mm,Top,80
NP5,41.550000mm,-74.590000mm,Top,60
NP6,44.610000mm,-77.160000mm,Top,40
NP7,46.610000mm,-80.620000mm,Top,20
NP8,24.990000mm,-42.395000mm,Top,160
NP9,26.990000mm,-38.935000mm,Top,140
NP10,30.050000mm,-36.365000mm,Top,120
NP11,33.800000mm,-34.995000mm,Top,100
NP12,37.790000mm,-34.995000mm,Top,80
NP13,41.550000mm,-36.365000mm,Top,60
NP14,44.610000mm,-38.935000mm,Top,40
NP15,46.610000mm,-42.395000mm,Top,20
NP16,58.800000mm,-45.400000mm,Top,0
NP17,77.850000mm,-45.400000mm,Top,0
NP18,96.900000mm,-45.400000mm,Top,0
NP19,58.800000mm,-64.450000mm,Top,0
NP20,77.850000mm,-64.450000mm,Top,0
NP21,96.900000mm,-64.450000mm,Top,0
NP22,58.800000mm,-83.500000mm,Top,0
NP23,77.850000mm,-83.500000mm,Top,0
NP24,96.900000mm,-83.500000mm,Top,0
NP25,58.800000mm,-102.550000mm,Top,0
NP26,77.850000mm,-102.550000mm,Top,0
NP27,96.900000mm,-102.550000mm,Top,0
NP28,58.800000mm,-121.600000mm,Top,180
NP29,87.375000mm,-121.600000mm,Top,180
R1,61.650000mm,-29.650000mm,Top,270
R2,73.507525mm,-29.632525mm,Top,270
R3,73.125000mm,-125.325000mm,Top,180
R4,67.354698mm,-115.181073mm,Top,270
R5,75.700571mm,-113.190200mm,Top,270
R6,76.650571mm,-113.190200mm,Top,270
SW1,33.292800mm,-56.809400mm,Top,90
SW2,33.292800mm,-95.034400mm,Top,90
SW3,58.800000mm,-40.275000mm,Top,0
SW4,77.850000mm,-40.275000mm,Top,0
SW5,96.900000mm,-40.275000mm,Top,0
SW6,58.800000mm,-59.325000mm,Top,0
SW7,77.850000mm,-59.325000mm,Top,0
SW8,96.900000mm,-59.325000mm,Top,0
SW9,58.800000mm,-78.375000mm,Top,0
SW10,77.850000mm,-78.375000mm,Top,0
SW11,96.900000mm,-78.375000mm,Top,0
SW12,58.800000mm,-97.425000mm,Top,0
SW13,77.850000mm,-97.425000mm,Top,0
SW14,96.900000mm,-97.425000mm,Top,0
SW15,58.800000mm,-116.475000mm,Top,0
SW16,87.375000mm,-116.475000mm,Top,0
SW17,33.975000mm,-114.025000mm,Top,0
TP0,51.225000mm,-68.850000mm,Top,0
TP1,55.372000mm,-68.825000mm,Top,0
TP2,72.500000mm,-68.825000mm,Top,0
TP3,87.550000mm,-68.825000mm,Top,0
TP4,88.400000mm,-106.175000mm,Top,0
TP5,102.750000mm,-87.900000mm,Top,0
TP6,102.725000mm,-68.850000mm,Top,0
TP7,102.750000mm,-49.800000mm,Top,0
TP8,87.775000mm,-32.650000mm,Top,0
TP9,52.725000mm,-49.825000mm,Top,0
U1,41.600000mm,-104.132400mm,Top,180
U2,69.022200mm,-109.463000mm,Top,90
U3,74.259771mm,-119.289050mm,Top,0
U4,29.787500mm,-103.300000mm,Top,180
Y1,68.300000mm,-124.150000mm,Top,270
